Taxonkey,TaxonName,CommonName,Descript,TaxLevel,ISSCAAP,ISSCAAPName
690199,Meretrix lusoria,Japanese hard clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690201,Apostichopus japonicus,Japanese sea cucumber,demersal mollusc                                  ,6,76,Seacucumbers Echinoderms starfish nei
690203,Cancer borealis,Jonah crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690205,Jasus frontalis,Juan Fernandez rock lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690206,Dosidicus gigas,Jumbo flying squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690215,Haliporoides triarthrus,Knife shrimp,shrimp                                            ,6,45,Shrimps prawns
690217,Solenocera agassizii,Kolibri shrimp,shrimp                                            ,6,45,Shrimps prawns
690218,Mytilus coruscus,Korean mussel,demersal mollusc                                  ,6,54,Mussels
690219,Marsupenaeus japonicus,Kuruma prawn,shrimp                                            ,6,45,Shrimps prawns
690227,Loligo pealeii,Longfin squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690228,Panulirus longipes,Longlegged spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690230,Mesodesma donacium,Macha clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690232,Crassostrea rhizophorae,Mangrove cupped oyster,demersal mollusc                                  ,6,53,Oysters
690241,Mytilus galloprovincialis,Mediterranean mussel,demersal mollusc                                  ,6,54,Mussels
690242,Carcinus aestuarii,Mediterranean shore crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690249,Metanephrops mozambicus,Mozambique lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690253,Palinurus delagoae,Natal spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690256,Ostrea lutaria,New Zealand dredge oyster,demersal mollusc                                  ,6,53,Oysters
690257,Metanephrops challengeri,New Zealand lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690259,Pecten novaezelandiae,New Zealand scallop,demersal mollusc                                  ,6,55,Scallops pectens
690265,Farfantepenaeus aztecus,Northern brown shrimp,shrimp                                            ,6,45,Shrimps prawns
690268,Farfantepenaeus duorarum,Northern pink shrimp,shrimp                                            ,6,45,Shrimps prawns
690269,Pandalus borealis,Northern prawn,shrimp                                            ,6,45,Shrimps prawns
690270,Mercenaria mercenaria,Northern quahog,demersal mollusc                                  ,6,56,Clams cockles arkshells
690271,Illex illecebrosus,Northern shortfin squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690272,Litopenaeus setiferus,Northern white shrimp,shrimp                                            ,6,45,Shrimps prawns
690273,Nephrops norvegicus,Norway lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690274,Meganyctiphanes norvegica,Norwegian krill,krill                                             ,6,46,Krill planktonic crustaceans
690275,Arctica islandica,Ocean quahog,demersal mollusc                                  ,6,56,Clams cockles arkshells
690279,Ostrea lurida,Olympia flat oyster,demersal mollusc                                  ,6,53,Oysters
690282,Argopecten ventricosus,Pacific calico scallop,demersal mollusc                                  ,6,55,Scallops pectens
690283,Crassostrea gigas,Pacific cupped oyster,demersal mollusc                                  ,6,53,Oysters
690284,Panopea abrupta,Pacific geoduck,demersal mollusc                                  ,6,56,Clams cockles arkshells
690285,Protothaca staminea,Pacific littleneck clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690286,Siliqua patula,Pacific razor clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690287,Cancer productus,Pacific rock crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690288,Xiphopenaeus kroyeri,Atlantic seabob,shrimp                                            ,6,45,Shrimps prawns
690296,Loligo gahi,Patagonian squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690302,Haliotis midae,Perlemoen abalone,demersal mollusc                                  ,6,52,Abalones winkles conchs
690303,Argopecten purpuratus,Peruvian calico scallop,demersal mollusc                                  ,6,55,Scallops pectens
690305,Palinurus mauritanicus,Pink spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690309,Tapes pullastra,Pullet carpet shell,demersal mollusc                                  ,6,56,Clams cockles arkshells
690313,Chionoecetes opilio,Queen crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690314,Aequipecten opercularis,Queen scallop,demersal mollusc                                  ,6,55,Scallops pectens
690318,Pyura stolonifera,Red bait,demersal mollusc                                  ,6,74,Sea-squirts and other tunicates
690320,Chaceon quinquedens,Red deepsea crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690321,Jasus edwardsii,Red rock lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690322,Pyura chilensis,Red sea squirt,demersal mollusc                                  ,6,74,Sea-squirts and other tunicates
690325,Paralomis aculeata,Red stone crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690327,Farfantepenaeus brasiliensis,Redspotted shrimp,shrimp                                            ,6,45,Shrimps prawns
690328,Penaeus penicillatus,Redtail prawn,shrimp                                            ,6,45,Shrimps prawns
690332,Mytilus platensis,River Plata mussel,demersal mollusc                                  ,6,54,Mussels
690334,Sicyonia brevirostris,Rock shrimp,shrimp                                            ,6,45,Shrimps prawns
690335,Pleoticus robustus,Royal red shrimp,shrimp                                            ,6,45,Shrimps prawns
690337,Mya arenaria,Sand gaper,demersal mollusc                                  ,6,56,Clams cockles arkshells
690338,Farfantepenaeus paulensis,Sao Paulo shrimp,shrimp                                            ,6,45,Shrimps prawns
690341,Panulirus homarus,Scalloped spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690343,Plesiopenaeus edwardsianus,Scarlet shrimp,shrimp                                            ,6,45,Shrimps prawns
690354,Martialia hyadesi,Sevenstar flying squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690356,Metapenaeus joyneri,Shiba shrimp,shrimp                                            ,6,45,Shrimps prawns
690364,Crassostrea iredalei,Slipper cupped oyster,demersal mollusc                                  ,6,53,Oysters
690370,Paralomis granulosa,Softshell red crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690374,Perna perna,South American rock mussel,demersal mollusc                                  ,6,54,Mussels
690377,Lithodes antarcticus,Southern king crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690378,Farfantepenaeus notialis,Southern pink shrimp,shrimp                                            ,6,45,Shrimps prawns
690379,Trachysalambria curvirostris,Southern rough shrimp,shrimp                                            ,6,45,Shrimps prawns
690381,Palinurus gilchristi,Southern spiny lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690383,Metapenaeus monoceros,Speckled shrimp,shrimp                                            ,6,45,Shrimps prawns
690387,Maja squinado,Spinous spider crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690392,Squilla mantis,Spottail mantis squillid,shrimp                                            ,6,47,Marine crustaceans nei
690398,Mactromeris polynyma,Stimpsons surf clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690399,Lithodes maia,Stone king crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690400,Paracentrotus lividus,Stony sea urchin,demersal mollusc                                  ,6,76,Seacucumbers Echinoderms starfish nei
690403,Aristeus varidens,Striped red shrimp,shrimp                                            ,6,45,Shrimps prawns
690404,Venus (=Chamelea) gallina,Striped venus,demersal mollusc                                  ,6,56,Clams cockles arkshells
690411,Protothaca thaca,Taca clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690420,Haliotis tuberculata,Tuberculate abalone,demersal mollusc                                  ,6,52,Abalones winkles conchs
690423,Chlamys varia,Variegated scallop,demersal mollusc                                  ,6,55,Scallops pectens
690425,Necora puber,Velvet swimcrab,lobsters crab                                     ,6,42,Sea-spiders crabs
690429,Patinopecten caurinus,Weathervane scallop,demersal mollusc                                  ,6,55,Scallops pectens
690430,Nototodarus sloanii,Wellington flying squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690432,Melicertus latisulcatus,Western king prawn,shrimp                                            ,6,45,Shrimps prawns
690433,Litopenaeus occidentalis,Western white shrimp,shrimp                                            ,6,45,Shrimps prawns
690434,Buccinum undatum,Whelk,demersal mollusc                                  ,6,52,Abalones winkles conchs
690440,Litopenaeus vannamei,Whiteleg shrimp,shrimp                                            ,6,45,Shrimps prawns
690444,Farfantepenaeus californiensis,Yellowleg shrimp,shrimp                                            ,6,45,Shrimps prawns
690445,Pecten yessoensis,Yesso scallop,demersal mollusc                                  ,6,55,Scallops pectens
690455,Paralomis formosa,King crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690470,Ommastrephes bartramii,Neon flying squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690595,Loligo forbesii,Veined Squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690598,Scyllarides latus,Mediterranean slipper lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690606,Cervimunida johni,Carrot Squat Lobster,lobsters crab                                     ,6,44,Craylets squat lobsters
690608,Erimacrus isenbeckii,Hair Crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690609,Haliporoides diomedeae,Chilean nylon shrimp,shrimp                                            ,6,45,Shrimps prawns
690610,Heterocarpus vicarius,Northern nylon shrimp,shrimp                                            ,6,45,Shrimps prawns
690611,Ibacus ciliatus,Sand Crayfish,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690612,Lithodes aequispinus,Same-spine stone crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690613,Megabalanus psittacus,Giant barnacle,demersal mollusc                                  ,6,47,Marine crustaceans nei
690615,Pandalopsis japonica,Sidestripe shrimp,shrimp                                            ,6,45,Shrimps prawns
690616,Pandalus goniurus,Humpy shrimp,shrimp                                            ,6,45,Shrimps prawns
690617,Pandalus hypsinotus,Humpback shrimp,shrimp                                            ,6,45,Shrimps prawns
690618,Pandalus kessleri,Grass shrimp,shrimp                                            ,6,45,Shrimps prawns
690619,Panulirus gracilis,Blue spiny lobster,shrimp                                            ,6,45,Shrimps prawns
690620,Paralithodes brevipes,Spiny king crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690621,Paralithodes camtschaticus,Red king crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690622,Paralithodes platypus,Blue King Crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690624,Pleuroncodes monodon,Squat Lobster,lobsters crab                                     ,6,44,Craylets squat lobsters
690625,Pleuroncodes planipes,Pelagic red crab,lobsters crab                                     ,6,44,Craylets squat lobsters
690627,Cilus gilberti,Corvina,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
690628,Sicyonia ingentis,Ridgeback shrimp,shrimp                                            ,6,45,Shrimps prawns
690629,Tivela mactroides,Trigonal tivela,demersal mollusc                                  ,6,56,Clams cockles arkshells
690631,Spisula ovalis,Venus clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690651,Clinocardium nuttallii,Nuttall cockle,demersal mollusc                                  ,6,56,Clams cockles arkshells
690658,Loligo opalescens,California market squid,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690660,Pandalus jordani,Ocean shrimp,shrimp                                            ,6,45,Shrimps prawns
690665,Upogebia pugettensis,Blue mud shrimp,lobsters crab                                     ,6,47,Marine crustaceans nei
690671,Spisula solida,Surf clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690674,Zidona dufresnei,Angulate volute,demersal mollusc                                  ,6,52,Abalones winkles conchs
690675,Tapes rhomboides,Banded carpet shell,demersal mollusc                                  ,6,56,Clams cockles arkshells
690676,Liocarcinus depurator,Blue-leg swimcrab,lobsters crab                                     ,6,42,Sea-spiders crabs
690677,Semele solida,Chilean semele,demersal mollusc                                  ,6,56,Clams cockles arkshells
690678,Glycymeris glycymeris,Dog cockle,demersal mollusc                                  ,6,56,Clams cockles arkshells
690679,Chlamys delicatula,Delicate scallop,demersal mollusc                                  ,6,55,Scallops pectens
690680,Palaemon longirostris,Delta prawn,shrimp                                            ,6,45,Shrimps prawns
690681,Thenus orientalis,Flathead lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690682,Tawera gayi,Gay's little venus,demersal mollusc                                  ,6,56,Clams cockles arkshells
690683,Aristaeomorpha foliacea,Giant red shrimp,shrimp                                            ,6,45,Shrimps prawns
690684,Eledone cirrhosa,Horned octopus,cephalopods                                       ,6,57,Squids cuttlefishes octopuses
690686,Zygochlamys patagonica,Patagonean scallop,demersal mollusc                                  ,6,55,Scallops pectens
690688,Paphies australis,Pipi wedge clam,demersal mollusc                                  ,6,56,Clams cockles arkshells
690690,Callista chione,Smooth callista,demersal mollusc                                  ,6,56,Clams cockles arkshells
690692,Chione stutchburyi,Stutchbury's venus,demersal mollusc                                  ,6,56,Clams cockles arkshells
690693,Venus verrucosa,Warty venus,demersal mollusc                                  ,6,56,Clams cockles arkshells
690694,Nematopalaemon schmitti,Whitebelly prawn,lobsters crab                                     ,6,45,Shrimps prawns
690696,Jasus novaehollandiae,Southern rock lobster,lobsters crab                                     ,6,43,Lobsters spiny-rock lobsters
690750,Tonna galea,Helmet ton,demersal mollusc                                  ,6,52,Abalones winkles conchs
690751,Pitar rostratus,Rostrate pitar,demersal mollusc                                  ,6,56,Clams cockles arkshells
690753,Chaceon affinis,Deep-sea red crab,lobsters crab                                     ,6,42,Sea-spiders crabs
690754,Ensis ensis,Pod razor,demersal mollusc                                  ,6,56,Clams cockles arkshells
690759,Pharus legumen,Bean solen,demersal mollusc                                  ,6,56,Clams cockles arkshells
