Taxonkey,TaxonName,CommonName,Descript,TaxLevel,ISSCAAP,ISSCAAPName
606952,Bathyraja murrayi,Murrays skate,rays <90 cm                                       ,6,38,Sharks rays skates etc
606953,Amblyraja georgiana,Antarctic starry skate,rays >=90 cm                                      ,6,38,Sharks rays skates etc
606954,Amblyraja taaf,Whiteleg skate,rays <90 cm                                       ,6,38,Sharks rays skates etc
606957,Diastobranchus capensis,Basketwork eel,bathydemersal >=90 cm                             ,6,39,Misc Finfishes
606960,Bathylagus antarcticus,Antarctic deepsea smelt,demersal >=90 cm                                  ,6,23,Salmons trouts smelts
606974,Benthalbella elongata,Benthalbella elongata,bathypelagic 30 - 90 cm                           ,6,39,Misc Finfishes
606985,Electrona carlsbergi,Electron subantarctic,bathypelagic <30 cm                               ,6,34,Jacks mullets sauries
606990,Gymnoscopelus nicholsi,Nicols lanterfish,bathypelagic <30 cm                               ,6,34,Jacks mullets sauries
606998,Lampanyctus achirus,,pelagic >=90 cm                                   ,6,34,Jacks mullets sauries
607026,Lycodichthys antarcticus,,bathydemersal <30 cm                              ,6,39,Misc Finfishes
607039,Dissostichus mawsoni,Antarctic toothfish,benthopelagic >=90 cm                             ,6,33,Redfishes basses congers
607040,Gobionotothen acuta,Triangular notothen,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
607041,Gobionotothen gibberifrons,Humped rockcod,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
607045,Lepidonotothen squamifrons,Grey rockcod,benthopelagic 30 - 90 cm                          ,6,33,Redfishes basses congers
607046,Lepidonotothen mizops,Toad notothen,benthopelagic <30 cm                              ,6,33,Redfishes basses congers
607047,Lepidonotothen nudifrons,Gaudy notothen,demersal <30 cm                                   ,6,33,Redfishes basses congers
607048,Lepidonotothen larseni,Lepidonotothen larseni,benthopelagic <30 cm                              ,6,33,Redfishes basses congers
607052,Patagonotothen brevicauda brevicauda,Patagonian rockcod,demersal <30 cm                                   ,6,33,Redfishes basses congers
607054,Trematomus eulepidotus,Blunt scalyhead,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
607055,Trematomus hansoni,Striped rockcod,demersal 30 - 90 cm                               ,6,33,Redfishes basses congers
607082,Pogonophryne permitini,Pogonophryne permitini,bathydemersal <30 cm                              ,6,39,Misc Finfishes
607103,Parachaenichthys georgianus,Antarctic dragonfish,bathydemersal <30 cm                              ,6,39,Misc Finfishes
607108,Chionobathyscus dewitti,Chionobathyscus dewitti,bathydemersal 30 - 90 cm                          ,6,34,Jacks mullets sauries
607109,Chionodraco hamatus,Crocodile icefish,bathydemersal 30 - 90 cm                          ,6,34,Jacks mullets sauries
607110,Chionodraco myersi,Chionodraco myersi,bathydemersal 30 - 90 cm                          ,6,34,Jacks mullets sauries
607111,Cryodraco antarcticus,Cryodraco antarcticus,bathydemersal 30 - 90 cm                          ,6,34,Jacks mullets sauries
607113,Neopagetopsis ionah,Bible icefish,benthopelagic 30 - 90 cm                          ,6,34,Jacks mullets sauries
607120,Mancopsetta maculata antarctica,Antarctic armless flounder,flatfish <90 cm                                   ,6,31,Flounders halibuts soles
607126,Muraenolepis microps,Smalleye moray cod,pelagic 30 - 90 cm                                ,6,32,Cods hakes haddocks
607137,Macrourus carinatus,Ridge scaled rattail,benthopelagic >=90 cm                             ,6,32,Cods hakes haddocks
607138,Macrourus holotrachys,Bigeye grenadier,benthopelagic 30 - 90 cm                          ,6,32,Cods hakes haddocks
607139,Macrourus whitsoni,Whitsons Grenadier,benthopelagic >=90 cm                             ,6,32,Cods hakes haddocks
607145,Psilodraco breviceps,Antarctic dragonfish,demersal <30 cm                                   ,6,39,Misc Finfishes
607151,Pseudocyttus maculatus,Smooth oreo,benthopelagic 30 - 90 cm                          ,6,34,Jacks mullets sauries
607152,Zanclorhynchus spinifer,Spiny horsefish,demersal 30 - 90 cm                               ,6,39,Misc Finfishes
607327,Balistes capriscus,Grey triggerfish,benthopelagic 30 - 90 cm                          ,6,33,Redfishes basses congers
607354,Epinephelus multinotatus,White-blotched grouper,reef-associated >=90 cm                           ,6,33,Redfishes basses congers
607366,Epinephelus summana,Summan grouper,reef-associated 30 - 90 cm                        ,6,33,Redfishes basses congers
